id	character	keyword	frame	reviewed
rtk330	享	receive	330	no
rtk331	塾	cram school	331	no
rtk332	熟	mellow	332	no
rtk333	亭	pavilion	333	no
rtk334	京	capital	334	no
rtk335	涼	refreshing	335	yes
rtk336	景	scenery	336	no
rtk337	鯨	whale	337	yes
rtk338	舎	cottage	338	no
rtk339	周	circumference	339	no
rtk340	週	week	340	no
rtk341	士	gentleman	341	no
rtk342	吉	good luck	342	no
rtk343	壮	robust	343	no
rtk344	荘	villa	344	yes
rtk345	売	sell	345	no
rtk346	学	study	346	no
rtk347	覚	memorize	347	no
rtk348	栄	flourish	348	no
rtk349	書	write	349	no
rtk350	津	haven	350	no
rtk351	牧	breed	351	yes
rtk352	攻	aggression	352	yes
rtk353	敗	failure	353	yes
rtk354	枚	a sheet of	354	yes
rtk355	故	happenstance	355	yes
rtk356	敬	awe	356	yes
rtk357	言	say	357	no
rtk358	警	admonish	358	yes
rtk359	計	plot	359	no
rtk360	詮	elucidate	360	no
rtk361	獄	prison	361	yes
rtk362	訂	revise	362	yes
rtk363	訃	obituary	363	no
rtk364	討	chastise	364	no
rtk365	訓	instruction	365	no
rtk366	詔	imperial edict	366	no
rtk367	詰	packed	367	yes
rtk368	話	tale	368	no
rtk369	詠	recitation	369	no
rtk370	詩	poem	370	no
rtk371	語	word	371	yes
rtk372	読	read	372	yes
rtk373	調	tune	373	no
rtk374	談	discuss	374	no
rtk375	諾	consent	375	no
rtk376	諭	rebuke	376	yes
rtk377	式	style	377	no
rtk378	試	test	378	yes
rtk379	弐	ii (two)	379	no
rtk380	域	range	380	no
rtk381	賊	burglar	381	yes
rtk382	栽	plantation	382	no
rtk383	載	load	383	no
rtk384	茂	overgrown	384	yes
rtk385	戚	relatives	385	yes
rtk386	成	turn into	386	no
rtk387	城	castle	387	yes
rtk388	誠	sincerity	388	yes
rtk389	威	intimidate	389	yes
rtk390	滅	destroy	390	yes
rtk391	減	dwindle	391	no
rtk392	蔑	revile	392	yes
rtk393	桟	scaffold	393	no
rtk394	銭	coin	394	no
rtk395	浅	shallow	395	no
rtk396	止	stop	396	no
rtk397	歩	walk	397	no
rtk398	渉	ford	398	no
rtk399	頻	repeatedly	399	yes
rtk400	肯	agreement	400	no
